ISIN,Data,Prezzo
GB00BJYDH287,2020-06-05,99.27
GB00BJYDH287,2020-06-08,95.81
GB00BJYDH287,2020-06-09,96.35
GB00BJYDH287,2020-06-10,97.87
GB00BJYDH287,2020-06-11,96.56
GB00BJYDH287,2020-06-12,93.94
GB00BJYDH287,2020-06-15,93.55
GB00BJYDH287,2020-06-16,99.72
GB00BJYDH287,2020-06-17,102.27
GB00BJYDH287,2020-06-18,107.29
GB00BJYDH287,2020-06-19,104.93
GB00BJYDH287,2020-06-22,104.46
GB00BJYDH287,2020-06-23,103.05
GB00BJYDH287,2020-06-24,99.31
GB00BJYDH287,2020-06-25,101.48
GB00BJYDH287,2020-06-26,106.1
GB00BJYDH287,2020-06-29,110.66
GB00BJYDH287,2020-06-30,109.81
GB00BJYDH287,2020-07-01,111.82
GB00BJYDH287,2020-07-02,112.46
GB00BJYDH287,2020-07-03,111.67
GB00BJYDH287,2020-07-06,99.89
GB00BJYDH287,2020-07-07,97.8
GB00BJYDH287,2020-07-08,96.39
GB00BJYDH287,2020-07-09,97.87
GB00BJYDH287,2020-07-10,93.79
GB00BJYDH287,2020-07-13,94.82
GB00BJYDH287,2020-07-14,100.43
GB00BJYDH287,2020-07-15,100.23
GB00BJYDH287,2020-07-16,98.08
GB00BJYDH287,2020-07-17,98.38
GB00BJYDH287,2020-07-20,94.49
GB00BJYDH287,2020-07-21,93.3
GB00BJYDH287,2020-07-22,88.34
GB00BJYDH287,2020-07-23,85.62
GB00BJYDH287,2020-07-24,83.8
GB00BJYDH287,2020-07-27,84.84
GB00BJYDH287,2020-07-28,80.07
GB00BJYDH287,2020-07-29,82.53
GB00BJYDH287,2020-07-30,80.71
GB00BJYDH287,2020-07-31,81.04
GB00BJYDH287,2020-08-03,81.9
GB00BJYDH287,2020-08-04,82.77
GB00BJYDH287,2020-08-05,80.95
GB00BJYDH287,2020-08-06,82.33
GB00BJYDH287,2020-08-07,79.43
GB00BJYDH287,2020-08-10,79.76
GB00BJYDH287,2020-08-11,80.77
GB00BJYDH287,2020-08-12,83.28
GB00BJYDH287,2020-08-13,90.71
GB00BJYDH287,2020-08-14,88.15
GB00BJYDH287,2020-08-17,88.53
GB00BJYDH287,2020-08-18,87.53
GB00BJYDH287,2020-08-19,87.19
GB00BJYDH287,2020-08-20,90.84
GB00BJYDH287,2020-08-21,95.78
GB00BJYDH287,2020-08-24,97.66
GB00BJYDH287,2020-08-25,98.62
GB00BJYDH287,2020-08-26,95.56
GB00BJYDH287,2020-08-27,94.03
GB00BJYDH287,2020-08-28,89.08
GB00BJYDH287,2020-08-31,89.26
GB00BJYDH287,2020-09-01,88.2
GB00BJYDH287,2020-09-02,90.57
GB00BJYDH287,2020-09-03,92.05
GB00BJYDH287,2020-09-04,91.9
GB00BJYDH287,2020-09-07,86.3
GB00BJYDH287,2020-09-08,86.18
GB00BJYDH287,2020-09-09,90.5
GB00BJYDH287,2020-09-10,90.8
GB00BJYDH287,2020-09-11,90.47
GB00BJYDH287,2020-09-14,89.98
GB00BJYDH287,2020-09-15,90.09
GB00BJYDH287,2020-09-16,95.01
GB00BJYDH287,2020-09-17,90.52
GB00BJYDH287,2020-09-18,88.44
GB00BJYDH287,2020-09-21,88.26
GB00BJYDH287,2020-09-22,86.3
GB00BJYDH287,2020-09-23,85.67
GB00BJYDH287,2020-09-24,85.89
GB00BJYDH287,2020-09-25,81.67
GB00BJYDH287,2020-09-28,80.73
GB00BJYDH287,2020-09-29,82.35
GB00BJYDH287,2020-09-30,79.14
GB00BJYDH287,2020-10-01,82.21
GB00BJYDH287,2020-10-02,78.15
GB00BJYDH287,2020-10-05,77.84
GB00BJYDH287,2020-10-06,79.42
GB00BJYDH287,2020-10-07,79.08
GB00BJYDH287,2020-10-08,77.23
GB00BJYDH287,2020-10-09,74.95
GB00BJYDH287,2020-10-12,73.76
GB00BJYDH287,2020-10-13,76.97
GB00BJYDH287,2020-10-14,77.23
GB00BJYDH287,2020-10-15,78.68
GB00BJYDH287,2020-10-16,78.95
GB00BJYDH287,2020-10-19,76.88
GB00BJYDH287,2020-10-20,76.92
GB00BJYDH287,2020-10-21,75.38
GB00BJYDH287,2020-10-22,69.9
GB00BJYDH287,2020-10-23,70.33
GB00BJYDH287,2020-10-26,68.6
GB00BJYDH287,2020-10-27,67.59
GB00BJYDH287,2020-10-28,67.15
GB00BJYDH287,2020-10-29,62.78
GB00BJYDH287,2020-10-30,61.96
GB00BJYDH287,2020-11-02,62.52
GB00BJYDH287,2020-11-03,62.83
GB00BJYDH287,2020-11-04,69.27
GB00BJYDH287,2020-11-05,64.94
GB00BJYDH287,2020-11-06,64.6
GB00BJYDH287,2020-11-09,67.28
GB00BJYDH287,2020-11-10,72.23
GB00BJYDH287,2020-11-11,66.32
GB00BJYDH287,2020-11-12,68.7
GB00BJYDH287,2020-11-13,68.95
GB00BJYDH287,2020-11-16,67.72
GB00BJYDH287,2020-11-17,67.58
GB00BJYDH287,2020-11-18,68.71
GB00BJYDH287,2020-11-19,69.76
GB00BJYDH287,2020-11-20,72.62
GB00BJYDH287,2020-11-23,69.15
GB00BJYDH287,2020-11-24,67.4
GB00BJYDH287,2020-11-25,66.32
GB00BJYDH287,2020-11-26,62.39
GB00BJYDH287,2020-11-27,66.74
GB00BJYDH287,2020-11-30,69.79
GB00BJYDH287,2020-12-01,69.14
GB00BJYDH287,2020-12-02,73.54
GB00BJYDH287,2020-12-03,74.14
GB00BJYDH287,2020-12-04,72.64
GB00BJYDH287,2020-12-07,74.91
GB00BJYDH287,2020-12-08,73.51
GB00BJYDH287,2020-12-09,74.93
GB00BJYDH287,2020-12-10,79.13
GB00BJYDH287,2020-12-11,80.08
GB00BJYDH287,2020-12-14,77.82
GB00BJYDH287,2020-12-15,79.56
GB00BJYDH287,2020-12-16,76.4
GB00BJYDH287,2020-12-17,74.15
GB00BJYDH287,2020-12-18,71.53
GB00BJYDH287,2020-12-21,70.62
GB00BJYDH287,2020-12-22,70.22
GB00BJYDH287,2020-12-23,68.51
GB00BJYDH287,2020-12-24,70.06
GB00BJYDH287,2020-12-25,63.44
GB00BJYDH287,2020-12-28,62.8
GB00BJYDH287,2020-12-29,62.53
GB00BJYDH287,2020-12-30,63.14
GB00BJYDH287,2020-12-31,66.3
GB00BJYDH287,2021-01-01,63.51
GB00BJYDH287,2021-01-04,63.85
GB00BJYDH287,2021-01-05,69.27
GB00BJYDH287,2021-01-06,64.83
GB00BJYDH287,2021-01-07,68.7
GB00BJYDH287,2021-01-08,70.16
GB00BJYDH287,2021-01-11,70.8
GB00BJYDH287,2021-01-12,72.0
GB00BJYDH287,2021-01-13,71.5
GB00BJYDH287,2021-01-14,71.22
GB00BJYDH287,2021-01-15,69.76
GB00BJYDH287,2021-01-18,75.35
GB00BJYDH287,2021-01-19,70.35
GB00BJYDH287,2021-01-20,67.09
GB00BJYDH287,2021-01-21,68.29
GB00BJYDH287,2021-01-22,67.5
GB00BJYDH287,2021-01-25,67.31
GB00BJYDH287,2021-01-26,65.84
GB00BJYDH287,2021-01-27,63.61
GB00BJYDH287,2021-01-28,65.17
GB00BJYDH287,2021-01-29,65.67
GB00BJYDH287,2021-02-01,68.36
GB00BJYDH287,2021-02-02,72.34
GB00BJYDH287,2021-02-03,74.08
GB00BJYDH287,2021-02-04,71.05
GB00BJYDH287,2021-02-05,68.08
GB00BJYDH287,2021-02-08,66.49
GB00BJYDH287,2021-02-09,61.17
GB00BJYDH287,2021-02-10,63.33
GB00BJYDH287,2021-02-11,63.55
GB00BJYDH287,2021-02-12,60.58
GB00BJYDH287,2021-02-15,63.4
GB00BJYDH287,2021-02-16,63.09
GB00BJYDH287,2021-02-17,61.57
GB00BJYDH287,2021-02-18,60.81
GB00BJYDH287,2021-02-19,60.87
GB00BJYDH287,2021-02-22,60.03
GB00BJYDH287,2021-02-23,61.55
GB00BJYDH287,2021-02-24,66.44
GB00BJYDH287,2021-02-25,68.55
GB00BJYDH287,2021-02-26,68.18
GB00BJYDH287,2021-03-01,67.21
GB00BJYDH287,2021-03-02,63.89
GB00BJYDH287,2021-03-03,68.35
GB00BJYDH287,2021-03-04,66.38
GB00BJYDH287,2021-03-05,64.68
GB00BJYDH287,2021-03-08,64.12
GB00BJYDH287,2021-03-09,59.0
GB00BJYDH287,2021-03-10,61.56
GB00BJYDH287,2021-03-11,64.78
GB00BJYDH287,2021-03-12,66.83
GB00BJYDH287,2021-03-15,64.82
GB00BJYDH287,2021-03-16,67.43
GB00BJYDH287,2021-03-17,67.85
GB00BJYDH287,2021-03-18,70.59
GB00BJYDH287,2021-03-19,64.37
GB00BJYDH287,2021-03-22,61.77
GB00BJYDH287,2021-03-23,60.84
GB00BJYDH287,2021-03-24,56.48
GB00BJYDH287,2021-03-25,55.54
GB00BJYDH287,2021-03-26,55.89
GB00BJYDH287,2021-03-29,53.28
GB00BJYDH287,2021-03-30,51.8
GB00BJYDH287,2021-03-31,51.82
GB00BJYDH287,2021-04-01,52.95
GB00BJYDH287,2021-04-02,53.6
GB00BJYDH287,2021-04-05,58.03
GB00BJYDH287,2021-04-06,58.13
GB00BJYDH287,2021-04-07,58.86
GB00BJYDH287,2021-04-08,59.53
GB00BJYDH287,2021-04-09,59.89
GB00BJYDH287,2021-04-12,64.71
GB00BJYDH287,2021-04-13,64.69
GB00BJYDH287,2021-04-14,64.43
GB00BJYDH287,2021-04-15,65.4
GB00BJYDH287,2021-04-16,67.24
GB00BJYDH287,2021-04-19,64.32
GB00BJYDH287,2021-04-20,62.19
GB00BJYDH287,2021-04-21,59.57
GB00BJYDH287,2021-04-22,61.21
GB00BJYDH287,2021-04-23,65.06
GB00BJYDH287,2021-04-26,64.98
GB00BJYDH287,2021-04-27,61.2
GB00BJYDH287,2021-04-28,65.55
GB00BJYDH287,2021-04-29,65.11
GB00BJYDH287,2021-04-30,61.73
GB00BJYDH287,2021-05-03,68.09
GB00BJYDH287,2021-05-04,66.11
GB00BJYDH287,2021-05-05,69.52
GB00BJYDH287,2021-05-06,68.59
GB00BJYDH287,2021-05-07,72.35
GB00BJYDH287,2021-05-10,67.56
GB00BJYDH287,2021-05-11,72.47
GB00BJYDH287,2021-05-12,75.79
GB00BJYDH287,2021-05-13,79.09
GB00BJYDH287,2021-05-14,80.98
GB00BJYDH287,2021-05-17,79.91
GB00BJYDH287,2021-05-18,76.98
GB00BJYDH287,2021-05-19,72.21
GB00BJYDH287,2021-05-20,73.72
GB00BJYDH287,2021-05-21,75.62
GB00BJYDH287,2021-05-24,71.94
GB00BJYDH287,2021-05-25,74.85
GB00BJYDH287,2021-05-26,74.53
GB00BJYDH287,2021-05-27,72.17
GB00BJYDH287,2021-05-28,76.27
GB00BJYDH287,2021-05-31,76.55
GB00BJYDH287,2021-06-01,75.56
GB00BJYDH287,2021-06-02,74.29
GB00BJYDH287,2021-06-03,74.36
GB00BJYDH287,2021-06-04,75.59
GB00BJYDH287,2021-06-07,76.6
GB00BJYDH287,2021-06-08,73.05
GB00BJYDH287,2021-06-09,72.19
GB00BJYDH287,2021-06-10,77.16
GB00BJYDH287,2021-06-11,75.33
GB00BJYDH287,2021-06-14,73.69
GB00BJYDH287,2021-06-15,70.87
GB00BJYDH287,2021-06-16,72.64
GB00BJYDH287,2021-06-17,74.57
GB00BJYDH287,2021-06-18,75.78
GB00BJYDH287,2021-06-21,69.58
GB00BJYDH287,2021-06-22,73.88
GB00BJYDH287,2021-06-23,72.69
GB00BJYDH287,2021-06-24,76.08
GB00BJYDH287,2021-06-25,78.25
GB00BJYDH287,2021-06-28,77.4
GB00BJYDH287,2021-06-29,77.04
GB00BJYDH287,2021-06-30,78.3
GB00BJYDH287,2021-07-01,73.38
GB00BJYDH287,2021-07-02,73.73
GB00BJYDH287,2021-07-05,74.16
GB00BJYDH287,2021-07-06,75.51
GB00BJYDH287,2021-07-07,71.99
GB00BJYDH287,2021-07-08,69.69
GB00BJYDH287,2021-07-09,67.45
GB00BJYDH287,2021-07-12,63.58
GB00BJYDH287,2021-07-13,63.46
GB00BJYDH287,2021-07-14,64.91
GB00BJYDH287,2021-07-15,62.87
GB00BJYDH287,2021-07-16,63.95
GB00BJYDH287,2021-07-19,59.92
GB00BJYDH287,2021-07-20,58.84
GB00BJYDH287,2021-07-21,61.94
GB00BJYDH287,2021-07-22,61.79
GB00BJYDH287,2021-07-23,64.03
GB00BJYDH287,2021-07-26,62.35
GB00BJYDH287,2021-07-27,62.99
GB00BJYDH287,2021-07-28,62.33
GB00BJYDH287,2021-07-29,63.44
GB00BJYDH287,2021-07-30,60.23
GB00BJYDH287,2021-08-02,63.02
GB00BJYDH287,2021-08-03,62.55
GB00BJYDH287,2021-08-04,59.49
GB00BJYDH287,2021-08-05,63.01
GB00BJYDH287,2021-08-06,59.68
GB00BJYDH287,2021-08-09,56.43
GB00BJYDH287,2021-08-10,58.28
GB00BJYDH287,2021-08-11,60.42
GB00BJYDH287,2021-08-12,59.19
GB00BJYDH287,2021-08-13,56.37
GB00BJYDH287,2021-08-16,56.15
GB00BJYDH287,2021-08-17,54.99
GB00BJYDH287,2021-08-18,57.28
GB00BJYDH287,2021-08-19,59.12
GB00BJYDH287,2021-08-20,60.08
GB00BJYDH287,2021-08-23,61.18
GB00BJYDH287,2021-08-24,63.26
GB00BJYDH287,2021-08-25,65.48
GB00BJYDH287,2021-08-26,66.62
GB00BJYDH287,2021-08-27,69.64
GB00BJYDH287,2021-08-30,67.6
GB00BJYDH287,2021-08-31,65.3
GB00BJYDH287,2021-09-01,67.86
GB00BJYDH287,2021-09-02,72.42
GB00BJYDH287,2021-09-03,66.91
GB00BJYDH287,2021-09-06,65.87
GB00BJYDH287,2021-09-07,64.65
GB00BJYDH287,2021-09-08,64.68
GB00BJYDH287,2021-09-09,66.78
GB00BJYDH287,2021-09-10,68.01
GB00BJYDH287,2021-09-13,66.64
GB00BJYDH287,2021-09-14,69.8
GB00BJYDH287,2021-09-15,72.23
GB00BJYDH287,2021-09-16,71.38
GB00BJYDH287,2021-09-17,63.82
GB00BJYDH287,2021-09-20,60.85
GB00BJYDH287,2021-09-21,59.49
GB00BJYDH287,2021-09-22,61.54
GB00BJYDH287,2021-09-23,59.19
GB00BJYDH287,2021-09-24,56.92
GB00BJYDH287,2021-09-27,56.44
GB00BJYDH287,2021-09-28,58.98
GB00BJYDH287,2021-09-29,63.25
GB00BJYDH287,2021-09-30,61.34
GB00BJYDH287,2021-10-01,63.43
GB00BJYDH287,2021-10-04,64.74
GB00BJYDH287,2021-10-05,63.57
GB00BJYDH287,2021-10-06,63.91
GB00BJYDH287,2021-10-07,63.8
GB00BJYDH287,2021-10-08,67.43
GB00BJYDH287,2021-10-11,66.12
GB00BJYDH287,2021-10-12,65.99
GB00BJYDH287,2021-10-13,64.67
GB00BJYDH287,2021-10-14,65.84
GB00BJYDH287,2021-10-15,72.19
GB00BJYDH287,2021-10-18,76.41
GB00BJYDH287,2021-10-19,81.69
GB00BJYDH287,2021-10-20,78.45
GB00BJYDH287,2021-10-21,75.95
GB00BJYDH287,2021-10-22,75.32
GB00BJYDH287,2021-10-25,69.81
GB00BJYDH287,2021-10-26,67.39
GB00BJYDH287,2021-10-27,67.8
GB00BJYDH287,2021-10-28,67.89
GB00BJYDH287,2021-10-29,68.79
GB00BJYDH287,2021-11-01,67.39
GB00BJYDH287,2021-11-02,66.21
GB00BJYDH287,2021-11-03,71.46
GB00BJYDH287,2021-11-04,70.73
GB00BJYDH287,2021-11-05,74.85
GB00BJYDH287,2021-11-08,73.95
GB00BJYDH287,2021-11-09,72.81
GB00BJYDH287,2021-11-10,70.9
GB00BJYDH287,2021-11-11,72.1
GB00BJYDH287,2021-11-12,69.01
GB00BJYDH287,2021-11-15,73.89
GB00BJYDH287,2021-11-16,78.32
GB00BJYDH287,2021-11-17,80.75
GB00BJYDH287,2021-11-18,77.84
GB00BJYDH287,2021-11-19,78.01
GB00BJYDH287,2021-11-22,81.13
GB00BJYDH287,2021-11-23,79.34
GB00BJYDH287,2021-11-24,81.02
GB00BJYDH287,2021-11-25,84.54
GB00BJYDH287,2021-11-26,86.74
GB00BJYDH287,2021-11-29,86.76
GB00BJYDH287,2021-11-30,89.06
GB00BJYDH287,2021-12-01,85.05
GB00BJYDH287,2021-12-02,88.16
GB00BJYDH287,2021-12-03,90.97
GB00BJYDH287,2021-12-06,90.14
GB00BJYDH287,2021-12-07,92.92
GB00BJYDH287,2021-12-08,95.36
GB00BJYDH287,2021-12-09,96.28
GB00BJYDH287,2021-12-10,97.42
GB00BJYDH287,2021-12-13,103.77
GB00BJYDH287,2021-12-14,100.24
GB00BJYDH287,2021-12-15,101.4
GB00BJYDH287,2021-12-16,94.9
GB00BJYDH287,2021-12-17,92.77
GB00BJYDH287,2021-12-20,94.96
GB00BJYDH287,2021-12-21,96.24
GB00BJYDH287,2021-12-22,100.55
GB00BJYDH287,2021-12-23,103.52
GB00BJYDH287,2021-12-24,99.56
GB00BJYDH287,2021-12-27,103.28
GB00BJYDH287,2021-12-28,101.28
GB00BJYDH287,2021-12-29,96.63
GB00BJYDH287,2021-12-30,102.27
GB00BJYDH287,2021-12-31,102.78
GB00BJYDH287,2022-01-03,100.06
GB00BJYDH287,2022-01-04,101.01
GB00BJYDH287,2022-01-05,97.65
GB00BJYDH287,2022-01-06,95.19
GB00BJYDH287,2022-01-07,95.03
GB00BJYDH287,2022-01-10,92.19
GB00BJYDH287,2022-01-11,95.84
GB00BJYDH287,2022-01-12,106.69
GB00BJYDH287,2022-01-13,107.96
GB00BJYDH287,2022-01-14,93.69
GB00BJYDH287,2022-01-17,89.42
GB00BJYDH287,2022-01-18,91.75
GB00BJYDH287,2022-01-19,92.19
GB00BJYDH287,2022-01-20,95.03
GB00BJYDH287,2022-01-21,89.39
GB00BJYDH287,2022-01-24,86.64
GB00BJYDH287,2022-01-25,84.73
GB00BJYDH287,2022-01-26,84.77
GB00BJYDH287,2022-01-27,85.67
GB00BJYDH287,2022-01-28,79.68
GB00BJYDH287,2022-01-31,83.83
GB00BJYDH287,2022-02-01,90.84
GB00BJYDH287,2022-02-02,90.77
GB00BJYDH287,2022-02-03,85.16
GB00BJYDH287,2022-02-04,85.21
GB00BJYDH287,2022-02-07,90.18
GB00BJYDH287,2022-02-08,88.11
GB00BJYDH287,2022-02-09,85.95
GB00BJYDH287,2022-02-10,86.89
GB00BJYDH287,2022-02-11,91.53
GB00BJYDH287,2022-02-14,95.29
GB00BJYDH287,2022-02-15,100.83
GB00BJYDH287,2022-02-16,97.08
GB00BJYDH287,2022-02-17,99.28
GB00BJYDH287,2022-02-18,104.48
GB00BJYDH287,2022-02-21,103.23
GB00BJYDH287,2022-02-22,106.79
GB00BJYDH287,2022-02-23,97.63
GB00BJYDH287,2022-02-24,96.28
GB00BJYDH287,2022-02-25,94.61
GB00BJYDH287,2022-02-28,93.62
GB00BJYDH287,2022-03-01,96.54
GB00BJYDH287,2022-03-02,97.95
GB00BJYDH287,2022-03-03,97.29
GB00BJYDH287,2022-03-04,90.27
GB00BJYDH287,2022-03-07,82.95
GB00BJYDH287,2022-03-08,83.86
GB00BJYDH287,2022-03-09,86.7
GB00BJYDH287,2022-03-10,82.6
GB00BJYDH287,2022-03-11,77.69
GB00BJYDH287,2022-03-14,80.57
GB00BJYDH287,2022-03-15,74.45
GB00BJYDH287,2022-03-16,75.7
GB00BJYDH287,2022-03-17,76.08
GB00BJYDH287,2022-03-18,76.15
GB00BJYDH287,2022-03-21,77.98
GB00BJYDH287,2022-03-22,80.01
GB00BJYDH287,2022-03-23,78.26
GB00BJYDH287,2022-03-24,78.53
GB00BJYDH287,2022-03-25,81.48
GB00BJYDH287,2022-03-28,82.62
GB00BJYDH287,2022-03-29,85.06
GB00BJYDH287,2022-03-30,89.52
GB00BJYDH287,2022-03-31,90.69
GB00BJYDH287,2022-04-01,91.31
GB00BJYDH287,2022-04-04,93.89
GB00BJYDH287,2022-04-05,95.34
GB00BJYDH287,2022-04-06,98.7
GB00BJYDH287,2022-04-07,100.04
GB00BJYDH287,2022-04-08,93.76
GB00BJYDH287,2022-04-11,86.62
GB00BJYDH287,2022-04-12,87.86
GB00BJYDH287,2022-04-13,85.67
GB00BJYDH287,2022-04-14,85.89
GB00BJYDH287,2022-04-15,89.06
GB00BJYDH287,2022-04-18,85.6
GB00BJYDH287,2022-04-19,81.13
GB00BJYDH287,2022-04-20,84.22
GB00BJYDH287,2022-04-21,87.23
GB00BJYDH287,2022-04-22,86.95
GB00BJYDH287,2022-04-25,81.97
GB00BJYDH287,2022-04-26,83.19
GB00BJYDH287,2022-04-27,83.67
GB00BJYDH287,2022-04-28,82.58
GB00BJYDH287,2022-04-29,82.73
GB00BJYDH287,2022-05-02,85.42
GB00BJYDH287,2022-05-03,80.35
GB00BJYDH287,2022-05-04,80.85
GB00BJYDH287,2022-05-05,81.01
GB00BJYDH287,2022-05-06,72.48
GB00BJYDH287,2022-05-09,74.51
GB00BJYDH287,2022-05-10,74.45
GB00BJYDH287,2022-05-11,74.6
GB00BJYDH287,2022-05-12,74.92
GB00BJYDH287,2022-05-13,75.86
GB00BJYDH287,2022-05-16,77.12
GB00BJYDH287,2022-05-17,76.05
GB00BJYDH287,2022-05-18,77.17
GB00BJYDH287,2022-05-19,76.44
GB00BJYDH287,2022-05-20,71.28
GB00BJYDH287,2022-05-23,75.05
GB00BJYDH287,2022-05-24,79.93
GB00BJYDH287,2022-05-25,78.68
GB00BJYDH287,2022-05-26,75.58
GB00BJYDH287,2022-05-27,74.71
GB00BJYDH287,2022-05-30,74.63
GB00BJYDH287,2022-05-31,72.42
GB00BJYDH287,2022-06-01,72.17
GB00BJYDH287,2022-06-02,68.53
GB00BJYDH287,2022-06-03,70.58
GB00BJYDH287,2022-06-06,77.96
GB00BJYDH287,2022-06-07,77.71
GB00BJYDH287,2022-06-08,77.6
GB00BJYDH287,2022-06-09,77.04
GB00BJYDH287,2022-06-10,73.75
GB00BJYDH287,2022-06-13,76.65
GB00BJYDH287,2022-06-14,80.81
GB00BJYDH287,2022-06-15,79.84
GB00BJYDH287,2022-06-16,82.73
GB00BJYDH287,2022-06-17,80.16
GB00BJYDH287,2022-06-20,85.13
GB00BJYDH287,2022-06-21,82.56
GB00BJYDH287,2022-06-22,85.43
GB00BJYDH287,2022-06-23,85.89
GB00BJYDH287,2022-06-24,87.25
GB00BJYDH287,2022-06-27,93.35
GB00BJYDH287,2022-06-28,92.05
GB00BJYDH287,2022-06-29,86.84
GB00BJYDH287,2022-06-30,86.47
GB00BJYDH287,2022-07-01,84.54
GB00BJYDH287,2022-07-04,80.44
GB00BJYDH287,2022-07-05,78.0
GB00BJYDH287,2022-07-06,79.0
GB00BJYDH287,2022-07-07,76.04
GB00BJYDH287,2022-07-08,75.89
GB00BJYDH287,2022-07-11,76.37
GB00BJYDH287,2022-07-12,77.86
GB00BJYDH287,2022-07-13,71.39
GB00BJYDH287,2022-07-14,70.24
GB00BJYDH287,2022-07-15,72.51
GB00BJYDH287,2022-07-18,68.5
GB00BJYDH287,2022-07-19,65.02
GB00BJYDH287,2022-07-20,67.84
GB00BJYDH287,2022-07-21,64.94
GB00BJYDH287,2022-07-22,61.81
GB00BJYDH287,2022-07-25,61.01
GB00BJYDH287,2022-07-26,62.29
GB00BJYDH287,2022-07-27,65.33
GB00BJYDH287,2022-07-28,61.65
GB00BJYDH287,2022-07-29,62.58
GB00BJYDH287,2022-08-01,62.92
GB00BJYDH287,2022-08-02,63.97
GB00BJYDH287,2022-08-03,65.04
GB00BJYDH287,2022-08-04,64.86
GB00BJYDH287,2022-08-05,61.47
GB00BJYDH287,2022-08-08,57.91
GB00BJYDH287,2022-08-09,59.99
GB00BJYDH287,2022-08-10,52.51
GB00BJYDH287,2022-08-11,50.47
GB00BJYDH287,2022-08-12,51.55
GB00BJYDH287,2022-08-15,47.01
GB00BJYDH287,2022-08-16,49.92
GB00BJYDH287,2022-08-17,49.06
GB00BJYDH287,2022-08-18,47.36
GB00BJYDH287,2022-08-19,50.08
GB00BJYDH287,2022-08-22,50.47
GB00BJYDH287,2022-08-23,53.61
GB00BJYDH287,2022-08-24,53.71
GB00BJYDH287,2022-08-25,54.37
GB00BJYDH287,2022-08-26,54.37
GB00BJYDH287,2022-08-29,52.29
GB00BJYDH287,2022-08-30,52.52
GB00BJYDH287,2022-08-31,50.15
GB00BJYDH287,2022-09-01,46.78
GB00BJYDH287,2022-09-02,47.28
GB00BJYDH287,2022-09-05,46.95
GB00BJYDH287,2022-09-06,45.49
GB00BJYDH287,2022-09-07,45.8
GB00BJYDH287,2022-09-08,46.36
GB00BJYDH287,2022-09-09,47.53
GB00BJYDH287,2022-09-12,48.01
GB00BJYDH287,2022-09-13,49.06
GB00BJYDH287,2022-09-14,52.05
GB00BJYDH287,2022-09-15,50.1
GB00BJYDH287,2022-09-16,55.06
GB00BJYDH287,2022-09-19,58.34
GB00BJYDH287,2022-09-20,60.56
